File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
classes/LogMassDeleteExtension.cls,A,ApexClass LogMassDeleteExtension,,,log,📰
classes/LogMassDeleteExtension.cls-meta.xml,A,ApexClass LogMassDeleteExtension,,,log,📰
classes/LogMassDeleteExtension_Tests.cls,A,ApexClass LogMassDeleteExtension_Tests,,,log,📰
classes/LogMassDeleteExtension_Tests.cls-meta.xml,A,ApexClass LogMassDeleteExtension_Tests,,,log,📰
classes/LogMessage.cls,A,ApexClass LogMessage,,,log,📰
classes/LogMessage.cls-meta.xml,A,ApexClass LogMessage,,,log,📰
classes/LogMessage_Tests.cls,A,ApexClass LogMessage_Tests,,,log,📰
classes/LogMessage_Tests.cls-meta.xml,A,ApexClass LogMessage_Tests,,,log,📰
classes/LogViewerController.cls,A,ApexClass LogViewerController,,,log,📰
classes/LogViewerController.cls-meta.xml,A,ApexClass LogViewerController,,,log,📰
classes/LogViewerController_Tests.cls,A,ApexClass LogViewerController_Tests,,,log,📰
classes/LogViewerController_Tests.cls-meta.xml,A,ApexClass LogViewerController_Tests,,,log,📰
classes/Logger.cls,A,ApexClass Logger,,,log,📰
classes/Logger.cls-meta.xml,A,ApexClass Logger,,,log,📰
classes/LoggerBatchableContext.cls,A,ApexClass LoggerBatchableContext,,,log,📰
classes/LoggerBatchableContext.cls-meta.xml,A,ApexClass LoggerBatchableContext,,,log,📰
classes/LoggerBatchableContext_Tests.cls,A,ApexClass LoggerBatchableContext_Tests,,,log,📰
classes/LoggerBatchableContext_Tests.cls-meta.xml,A,ApexClass LoggerBatchableContext_Tests,,,log,📰
classes/LoggerCache.cls,A,ApexClass LoggerCache,,,log,📰
classes/LoggerCache.cls-meta.xml,A,ApexClass LoggerCache,,,log,📰
classes/LoggerCache_Tests.cls,A,ApexClass LoggerCache_Tests,,,log,📰
classes/LoggerCache_Tests.cls-meta.xml,A,ApexClass LoggerCache_Tests,,,log,📰
classes/LoggerConfigurationSelector.cls,A,ApexClass LoggerConfigurationSelector,,,log,📰
classes/LoggerConfigurationSelector.cls-meta.xml,A,ApexClass LoggerConfigurationSelector,,,log,📰
classes/LoggerConfigurationSelector_Tests.cls,A,ApexClass LoggerConfigurationSelector_Tests,,,log,📰
classes/LoggerConfigurationSelector_Tests.cls-meta.xml,A,ApexClass LoggerConfigurationSelector_Tests,,,log,📰
classes/LoggerDataStore.cls,A,ApexClass LoggerDataStore,,,log,📰
classes/LoggerDataStore.cls-meta.xml,A,ApexClass LoggerDataStore,,,log,📰
classes/LoggerDataStore_Tests.cls,A,ApexClass LoggerDataStore_Tests,,,log,📰
classes/LoggerDataStore_Tests.cls-meta.xml,A,ApexClass LoggerDataStore_Tests,,,log,📰
classes/LoggerEmailSender.cls,A,ApexClass LoggerEmailSender,,,log,📰
classes/LoggerEmailSender.cls-meta.xml,A,ApexClass LoggerEmailSender,,,log,📰
classes/LoggerEmailSender_Tests.cls,A,ApexClass LoggerEmailSender_Tests,,,log,📰
classes/LoggerEmailSender_Tests.cls-meta.xml,A,ApexClass LoggerEmailSender_Tests,,,log,📰
classes/LoggerEngineDataSelector.cls,A,ApexClass LoggerEngineDataSelector,,,log,📰
classes/LoggerEngineDataSelector.cls-meta.xml,A,ApexClass LoggerEngineDataSelector,,,log,📰
classes/LoggerEngineDataSelector_Tests.cls,A,ApexClass LoggerEngineDataSelector_Tests,,,log,📰
classes/LoggerEngineDataSelector_Tests.cls-meta.xml,A,ApexClass LoggerEngineDataSelector_Tests,,,log,📰
classes/LoggerFieldMapper.cls,A,ApexClass LoggerFieldMapper,,,log,📰
classes/LoggerFieldMapper.cls-meta.xml,A,ApexClass LoggerFieldMapper,,,log,📰
classes/LoggerFieldMapper_Tests.cls,A,ApexClass LoggerFieldMapper_Tests,,,log,📰
classes/LoggerFieldMapper_Tests.cls-meta.xml,A,ApexClass LoggerFieldMapper_Tests,,,log,📰
classes/LoggerHomeHeaderController.cls,A,ApexClass LoggerHomeHeaderController,,,log,📰
classes/LoggerHomeHeaderController.cls-meta.xml,A,ApexClass LoggerHomeHeaderController,,,log,📰
classes/LoggerHomeHeaderController_Tests.cls,A,ApexClass LoggerHomeHeaderController_Tests,,,log,📰
classes/LoggerHomeHeaderController_Tests.cls-meta.xml,A,ApexClass LoggerHomeHeaderController_Tests,,,log,📰
classes/LoggerMockDataCreator.cls,A,ApexClass LoggerMockDataCreator,,,log,📰
classes/LoggerMockDataCreator.cls-meta.xml,A,ApexClass LoggerMockDataCreator,,,log,📰
classes/LoggerMockDataStore.cls,A,ApexClass LoggerMockDataStore,,,log,📰
classes/LoggerMockDataStore.cls-meta.xml,A,ApexClass LoggerMockDataStore,,,log,📰
classes/LoggerParameter.cls,A,ApexClass LoggerParameter,,,log,📰
classes/LoggerParameter.cls-meta.xml,A,ApexClass LoggerParameter,,,log,📰
classes/LoggerParameter_Tests.cls,A,ApexClass LoggerParameter_Tests,,,log,📰
classes/LoggerParameter_Tests.cls-meta.xml,A,ApexClass LoggerParameter_Tests,,,log,📰
classes/LoggerPlugin.cls,A,ApexClass LoggerPlugin,,,log,📰
classes/LoggerPlugin.cls-meta.xml,A,ApexClass LoggerPlugin,,,log,📰
classes/LoggerPlugin_Tests.cls,A,ApexClass LoggerPlugin_Tests,,,log,📰
classes/LoggerPlugin_Tests.cls-meta.xml,A,ApexClass LoggerPlugin_Tests,,,log,📰
classes/LoggerSObjectHandler.cls,A,ApexClass LoggerSObjectHandler,,,log,📰
classes/LoggerSObjectHandler.cls-meta.xml,A,ApexClass LoggerSObjectHandler,,,log,📰
classes/LoggerSObjectHandler_Tests.cls,A,ApexClass LoggerSObjectHandler_Tests,,,log,📰
classes/LoggerSObjectHandler_Tests.cls-meta.xml,A,ApexClass LoggerSObjectHandler_Tests,,,log,📰
classes/LoggerSObjectMetadata.cls,A,ApexClass LoggerSObjectMetadata,,,log,📰
classes/LoggerSObjectMetadata.cls-meta.xml,A,ApexClass LoggerSObjectMetadata,,,log,📰
classes/LoggerSObjectMetadata_Tests.cls,A,ApexClass LoggerSObjectMetadata_Tests,,,log,📰
classes/LoggerSObjectMetadata_Tests.cls-meta.xml,A,ApexClass LoggerSObjectMetadata_Tests,,,log,📰
classes/LoggerSObjectProxy.cls,A,ApexClass LoggerSObjectProxy,,,log,📰
classes/LoggerSObjectProxy.cls-meta.xml,A,ApexClass LoggerSObjectProxy,,,log,📰
classes/LoggerSObjectProxy_Tests.cls,A,ApexClass LoggerSObjectProxy_Tests,,,log,📰
classes/LoggerSObjectProxy_Tests.cls-meta.xml,A,ApexClass LoggerSObjectProxy_Tests,,,log,📰
classes/LoggerScenarioHandler.cls,A,ApexClass LoggerScenarioHandler,,,log,📰
classes/LoggerScenarioHandler.cls-meta.xml,A,ApexClass LoggerScenarioHandler,,,log,📰
classes/LoggerScenarioHandler_Tests.cls,A,ApexClass LoggerScenarioHandler_Tests,,,log,📰
classes/LoggerScenarioHandler_Tests.cls-meta.xml,A,ApexClass LoggerScenarioHandler_Tests,,,log,📰
classes/LoggerScenarioRule.cls,A,ApexClass LoggerScenarioRule,,,log,📰
classes/LoggerScenarioRule.cls-meta.xml,A,ApexClass LoggerScenarioRule,,,log,📰
classes/LoggerScenarioRule_Tests.cls,A,ApexClass LoggerScenarioRule_Tests,,,log,📰
classes/LoggerScenarioRule_Tests.cls-meta.xml,A,ApexClass LoggerScenarioRule_Tests,,,log,📰
classes/LoggerSettingsController.cls,A,ApexClass LoggerSettingsController,,,log,📰
classes/LoggerSettingsController.cls-meta.xml,A,ApexClass LoggerSettingsController,,,log,📰
classes/LoggerSettingsController_Tests.cls,A,ApexClass LoggerSettingsController_Tests,,,log,📰
classes/LoggerSettingsController_Tests.cls-meta.xml,A,ApexClass LoggerSettingsController_Tests,,,log,📰
classes/LoggerStackTrace.cls,A,ApexClass LoggerStackTrace,,,log,📰
classes/LoggerStackTrace.cls-meta.xml,A,ApexClass LoggerStackTrace,,,log,📰
classes/LoggerStackTrace_Tests.cls,A,ApexClass LoggerStackTrace_Tests,,,log,📰
classes/LoggerStackTrace_Tests.cls-meta.xml,A,ApexClass LoggerStackTrace_Tests,,,log,📰
classes/LoggerTagHandler.cls,A,ApexClass LoggerTagHandler,,,log,📰
classes/LoggerTagHandler.cls-meta.xml,A,ApexClass LoggerTagHandler,,,log,📰
classes/LoggerTagHandler_Tests.cls,A,ApexClass LoggerTagHandler_Tests,,,log,📰
classes/LoggerTagHandler_Tests.cls-meta.xml,A,ApexClass LoggerTagHandler_Tests,,,log,📰
classes/LoggerTestConfigurator.cls,A,ApexClass LoggerTestConfigurator,,,log,📰
classes/LoggerTestConfigurator.cls-meta.xml,A,ApexClass LoggerTestConfigurator,,,log,📰
classes/LoggerTriggerableContext.cls,A,ApexClass LoggerTriggerableContext,,,log,📰
classes/LoggerTriggerableContext.cls-meta.xml,A,ApexClass LoggerTriggerableContext,,,log,📰
classes/LoggerTriggerableContext_Tests.cls,A,ApexClass LoggerTriggerableContext_Tests,,,log,📰
classes/LoggerTriggerableContext_Tests.cls-meta.xml,A,ApexClass LoggerTriggerableContext_Tests,,,log,📰
classes/Logger_Tests.cls,A,ApexClass Logger_Tests,,,log,📰
classes/Logger_Tests.cls-meta.xml,A,ApexClass Logger_Tests,,,log,📰
classes/LogicComparator.cls,A,ApexClass LogicComparator,,,log,📰
classes/LogicComparator.cls-meta.xml,A,ApexClass LogicComparator,,,log,📰
classes/LogicComparatorTest.cls,A,ApexClass LogicComparatorTest,,,log,📰
classes/LogicComparatorTest.cls-meta.xml,A,ApexClass LogicComparatorTest,,,log,📰
classes/MaxClause.cls,A,ApexClass MaxClause,,,log,📰
classes/MaxClause.cls-meta.xml,A,ApexClass MaxClause,,,log,📰
classes/MinClause.cls,A,ApexClass MinClause,,,log,📰
classes/MinClause.cls-meta.xml,A,ApexClass MinClause,,,log,📰
classes/MockDmlOperator.cls,A,ApexClass MockDmlOperator,,,log,📰
classes/MockDmlOperator.cls-meta.xml,A,ApexClass MockDmlOperator,,,log,📰
classes/MockDmlOperatorTest.cls,A,ApexClass MockDmlOperatorTest,,,log,📰
classes/MockDmlOperatorTest.cls-meta.xml,A,ApexClass MockDmlOperatorTest,,,log,📰
